album_sheet,number,excel_row,registry_name,doc_number,organization,original_status,found_name,folder,drive_url,original_note,final_status,placeholder,final_note,album_page_start,album_page_end,component_files,sources,archive_candidates
утепление 1 слой,15,20,Исполнительная схема монтажа 1-го слоя утеплителя НВФ в/о 17-1/Т (лист 10),,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС утеления 1 слой на фасаде в_о 17-1_Т лист 4.pdf,Анохин / Фасад в осях 17-1_Т,https://drive.google.com/file/d/1jjKOXCN-t_THIHaBBATleBls2JAkFkS4/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,26,26,015__ИС утеления 1 слой на фасаде в_о 17-1_Т лист 4.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1jjKOXCN-t_THIHaBBATleBls2JAkFkS4_ИС утеления 1 слой на фасаде в_о 17-1_Т лист 4.pdf"", ""label"": ""ИС утеления 1 слой на фасаде в_о 17-1_Т лист 4.pdf"", ""pages"": [], ""drive_id"": ""1jjKOXCN-t_THIHaBBATleBls2JAkFkS4"", ""sha256"": ""48b478ddfc82ed7e0c989801cce3fe4acd384c9912d81f8e1d001cc9887c2059"", ""page_count"": 1}]",
утепление 1 слой,16,21,Исполнительная схема монтажа 1-го слоя утеплителя НВФ в/о 17-1/Т (лист 11),,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС утеления 1 слой на фасаде в_о 17-1_Т лист 5.pdf,Анохин / Фасад в осях 17-1_Т,https://drive.google.com/file/d/1wQ67JmaXvrSINOz0YY_40FdoF_QQ8-lg/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,27,27,016__ИС утеления 1 слой на фасаде в_о 17-1_Т лист 5.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1wQ67JmaXvrSINOz0YY_40FdoF_QQ8-lg_ИС утеления 1 слой на фасаде в_о 17-1_Т лист 5.pdf"", ""label"": ""ИС утеления 1 слой на фасаде в_о 17-1_Т лист 5.pdf"", ""pages"": [], ""drive_id"": ""1wQ67JmaXvrSINOz0YY_40FdoF_QQ8-lg"", ""sha256"": ""d1713c1081d7c2cca249cd90576701009e53128b3133abcbd1e7b972772cb7c5"", ""page_count"": 1}]",
утепление 1 слой,17,22,"Исполнительная схема монтажа 1-го слоя утеплителя НВФ в/о 17-1/Т (лист 12), в т.ч. Узлы",,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / ПРОВЕРИТЬ,ИС утеления 1 слой на фасаде в_о 17-1_Т лист 6.pdf,Анохин / Фасад в осях 17-1_Т,https://drive.google.com/file/d/1IvQWQTquUVJ-Dbp51ZS-QOElDOD7W2UP/view?usp=drivesdk,В строке указано 'в т.ч. Узлы'; в архиве найден лист 12 без отдельного файла узлов.,"НАЙДЕНО, НАЛИЧИЕ УЗЛОВ ПОДТВЕРЖДЕНО",False,OCR выявил обозначение узлов на листе,28,28,017__ИС утеления 1 слой на фасаде в_о 17-1_Т лист 6.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1IvQWQTquUVJ-Dbp51ZS-QOElDOD7W2UP_ИС утеления 1 слой на фасаде в_о 17-1_Т лист 6.pdf"", ""label"": ""ИС утеления 1 слой на фасаде в_о 17-1_Т лист 6.pdf"", ""pages"": [], ""drive_id"": ""1IvQWQTquUVJ-Dbp51ZS-QOElDOD7W2UP"", ""sha256"": ""d7bfd4feb86930f25a302a5ca03424530ea6495e43ee3b7bd23ebc65e0aa7547"", ""page_count"": 1}]",
утепление 1 слой,18,23,Исполнительная схема монтажа 1-го слоя утеплителя НВФ в/о 2/Ж-Г,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС 1-го слоя утеплителя фасада в_о 2_Ж-Г.pdf,Анохин / Фасад в осях 2_Ж-Г,https://drive.google.com/file/d/1NRhMIGz-29AbswGAEcC8lHPWckjgTd6x/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,29,29,018__ИС 1-го слоя утеплителя фасада в_о 2_Ж-Г.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1NRhMIGz-29AbswGAEcC8lHPWckjgTd6x_ИС 1-го слоя утеплителя фасада в_о 2_Ж-Г.pdf"", ""label"": ""ИС 1-го слоя утеплителя фасада в_о 2_Ж-Г.pdf"", ""pages"": [], ""drive_id"": ""1NRhMIGz-29AbswGAEcC8lHPWckjgTd6x"", ""sha256"": ""a4afb3913e2f169c9dbd1afeda9e04dd60f99f3d05ba0d8d6ab7f930a29b0e6c"", ""page_count"": 1}]",
утепление 1 слой,19,24,Исполнительная схема монтажа 1-го слоя утеплителя НВФ в/о 2-7/В-Г,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС 1-го слоя утеплителя на фасаде в_о 2-7_В-Г.pdf,Анохин / Фасад в осях 2-7_В-Г,https://drive.google.com/file/d/1pN5zBUH_D1iTxqG29UL7L5euh_A-p_V2/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,30,30,019__ИС 1-го слоя утеплителя на фасаде в_о 2-7_В-Г.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1pN5zBUH_D1iTxqG29UL7L5euh_A-p_V2_ИС 1-го слоя утеплителя на фасаде в_о 2-7_В-Г.pdf"", ""label"": ""ИС 1-го слоя утеплителя на фасаде в_о 2-7_В-Г.pdf"", ""pages"": [], ""drive_id"": ""1pN5zBUH_D1iTxqG29UL7L5euh_A-p_V2"", ""sha256"": ""4aff242a0a3b438df2c680eecfd812bdc18042b6ddd639991ddfc479d501b668"", ""page_count"": 1}]",
утепление 1 слой,20,25,Исполнительная схема монтажа 1-го слоя утеплителя НВФ в/о 2/Т-И и 3-6/И,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / ПРОВЕРИТЬ,ИС 1 слоя утеплителя на фасаде в_о 3_Т-И.pdf,Анохин / Фасад в осях 3_Т-И,https://drive.google.com/file/d/1EZA6L5-HYjSr1NLuuhockyDkM85IAhBZ/view?usp=drivesdk,Частичное совпадение: в реестре оси 2/Т-И и 3-6/И; в архиве найден комплект по фасаду 3_Т-И.,ЧАСТИЧНОЕ СООТВЕТСТВИЕ — ЗАГЛУШКА + КАНДИДАТ,True,Частичное совпадение: в реестре оси 2/Т-И и 3-6/И; в архиве найден комплект по фасаду 3_Т-И.,31,32,020_00_PLACEHOLDER.pdf | 020__ИС 1 слоя утеплителя на фасаде в_о 3_Т-И.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1EZA6L5-HYjSr1NLuuhockyDkM85IAhBZ_ИС 1 слоя утеплителя на фасаде в_о 3_Т-И.pdf"", ""label"": ""ИС 1 слоя утеплителя на фасаде в_о 3_Т-И.pdf"", ""pages"": [], ""drive_id"": ""1EZA6L5-HYjSr1NLuuhockyDkM85IAhBZ"", ""sha256"": ""2f7e5ba0cc6b3260397e294411bd70f5156a2f27fce40cf8eea25b2114cb1096"", ""page_count"": 1}]",
утепление 1 слой,21,26,Исполнительная схема монтажа 1-го слоя утеплителя НВФ в/о 5-6/И-Е и 5-7/И,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / ПРОВЕРИТЬ,ИС 1 слоя утеплителя на фасаде в_о 5-7_Е-И.pdf,Анохин / Фасад в осях 5-7_Е-И,https://drive.google.com/file/d/17A3o-D5qnyhRscyT9jjESmtCCAILcjBr/view?usp=drivesdk,Частичное совпадение: в реестре оси 5-6/И-Е и 5-7/И; в архиве найден комплект по фасаду 5-7_Е-И.,ЧАСТИЧНОЕ СООТВЕТСТВИЕ — ЗАГЛУШКА + КАНДИДАТ,True,Частичное совпадение: в реестре оси 5-6/И-Е и 5-7/И; в архиве найден комплект по фасаду 5-7_Е-И.,33,34,021_00_PLACEHOLDER.pdf | 021__ИС 1 слоя утеплителя на фасаде в_о 5-7_Е-И.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/17A3o-D5qnyhRscyT9jjESmtCCAILcjBr_ИС 1 слоя утеплителя на фасаде в_о 5-7_Е-И.pdf"", ""label"": ""ИС 1 слоя утеплителя на фасаде в_о 5-7_Е-И.pdf"", ""pages"": [], ""drive_id"": ""17A3o-D5qnyhRscyT9jjESmtCCAILcjBr"", ""sha256"": ""c998587b5a85362be2f175d6a28e2adf6cbc96a61da3d18fb2f1a9d4aab039cf"", ""page_count"": 1}]",
утепление 1 слой,22,27,Исполнительная схема монтажа 1-го слоя утеплителя НВФ в/о 7/В-И ,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС 1-го слоя утепления на фасаде в_о 7_В-И.pdf,Анохин / Фасад в осях 7_В-И,https://drive.google.com/file/d/1WKWh_-BwRdrplSAT8xtf3QwJjpxVeelW/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,35,35,022__ИС 1-го слоя утепления на фасаде в_о 7_В-И.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1WKWh_-BwRdrplSAT8xtf3QwJjpxVeelW_ИС 1-го слоя утепления на фасаде в_о 7_В-И.pdf"", ""label"": ""ИС 1-го слоя утепления на фасаде в_о 7_В-И.pdf"", ""pages"": [], ""drive_id"": ""1WKWh_-BwRdrplSAT8xtf3QwJjpxVeelW"", ""sha256"": ""59cc2d516a9ad647c95bcd2e3442edc9be5a18a7542005c9c8c63c4208a270ea"", ""page_count"": 1}]",
утепление 1 слой,23,28,Исполнительная схема монтажа 1-го слоя утеплителя НВФ в/о 7/В-И. Узлы,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС 1-го слоя утепления на фасаде в_о 7_В-И. Узлы.pdf,Анохин / Фасад в осях 7_В-И,https://drive.google.com/file/d/19zWIVXelmzWpuGZYGSIunkFDqbkBEbNR/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,36,36,023__ИС 1-го слоя утепления на фасаде в_о 7_В-И. Узлы.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/19zWIVXelmzWpuGZYGSIunkFDqbkBEbNR_ИС 1-го слоя утепления на фасаде в_о 7_В-И. Узлы.pdf"", ""label"": ""ИС 1-го слоя утепления на фасаде в_о 7_В-И. Узлы.pdf"", ""pages"": [], ""drive_id"": ""19zWIVXelmzWpuGZYGSIunkFDqbkBEbNR"", ""sha256"": ""7133d931d1ca8d3d2de0b678e53098ab918063cda925976d6dd79c56b93f65aa"", ""page_count"": 1}]",
утепление 1 слой,24,29,Исполнительная схема монтажа 1-го слоя утеплителя НВФ в/о 7-13/И ,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС 1 слоя утеплителя на фасаде в_о 7-13_И.pdf,Анохин / Фасад в осях 7-13_И,https://drive.google.com/file/d/1Xas6J1CDDZNdKfOAj9tO0Wk67Oq5T9Nu/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,37,37,024__ИС 1 слоя утеплителя на фасаде в_о 7-13_И.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1Xas6J1CDDZNdKfOAj9tO0Wk67Oq5T9Nu_ИС 1 слоя утеплителя на фасаде в_о 7-13_И.pdf"", ""label"": ""ИС 1 слоя утеплителя на фасаде в_о 7-13_И.pdf"", ""pages"": [], ""drive_id"": ""1Xas6J1CDDZNdKfOAj9tO0Wk67Oq5T9Nu"", ""sha256"": ""c66b38080cb142028fdb253470f4dcac82c0ae81477a30edbf1979a20964d2e4"", ""page_count"": 1}]",
утепление 1 слой,25,30,Исполнительная схема монтажа 1-го слоя утеплителя НВФ в/о 12-15/В-А ,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС 1 слоя утеплителя на фасаде в_о 12-15_В-А.pdf,Анохин / Фасад в осях 12-15_В-А,https://drive.google.com/file/d/1LNTy03uHy1994kN8BBAu3qb6S-VqWhS6/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,38,38,025__ИС 1 слоя утеплителя на фасаде в_о 12-15_В-А.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1LNTy03uHy1994kN8BBAu3qb6S-VqWhS6_ИС 1 слоя утеплителя на фасаде в_о 12-15_В-А.pdf"", ""label"": ""ИС 1 слоя утеплителя на фасаде в_о 12-15_В-А.pdf"", ""pages"": [], ""drive_id"": ""1LNTy03uHy1994kN8BBAu3qb6S-VqWhS6"", ""sha256"": ""454e1b5781c57f784405e49d0c72a8fcaf0593a3d8a84ab64669459446dffac7"", ""page_count"": 1}]",
утепление 1 слой,26,31,Исполнительная схема монтажа 1-го слоя утеплителя НВФ в/о 13-17/В-А ,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС 1 слоя утеплителя на фасаде в_о 13-17_В-А.pdf,Анохин / Фасад в осях 13-17_В-А,https://drive.google.com/file/d/1WSSFyDOr9Xbqr96r1hI_dOWpAG5RrM3E/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,39,39,026__ИС 1 слоя утеплителя на фасаде в_о 13-17_В-А.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1WSSFyDOr9Xbqr96r1hI_dOWpAG5RrM3E_ИС 1 слоя утеплителя на фасаде в_о 13-17_В-А.pdf"", ""label"": ""ИС 1 слоя утеплителя на фасаде в_о 13-17_В-А.pdf"", ""pages"": [], ""drive_id"": ""1WSSFyDOr9Xbqr96r1hI_dOWpAG5RrM3E"", ""sha256"": ""8f80ee683bf69706e91ef91e360a311c2aef4ad2bc8ceb816363978bec8b9496"", ""page_count"": 1}]",
утепление 1 слой,27,32,Исполнительная схема монтажа 1-го слоя утеплителя НВФ в/о 12-17/В-А. Узлы ,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС 1 слоя утеплителя на фасаде в_о 12-17_В-А  Узлы.pdf,Анохин / Фасад в осях 12-17_В-А,https://drive.google.com/file/d/1SPEK97tJ5X74i0wII1hq3wGuCcIbHt0M/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,40,40,027__ИС 1 слоя утеплителя на фасаде в_о 12-17_В-А Узлы.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1SPEK97tJ5X74i0wII1hq3wGuCcIbHt0M_ИС 1 слоя утеплителя на фасаде в_о 12-17_В-А Узлы.pdf"", ""label"": ""ИС 1 слоя утеплителя на фасаде в_о 12-17_В-А  Узлы.pdf"", ""pages"": [], ""drive_id"": ""1SPEK97tJ5X74i0wII1hq3wGuCcIbHt0M"", ""sha256"": ""51aedaadb6e2648d52b4d1a4f4af4a8da15d09895a1957609c447f650b1e9316"", ""page_count"": 1}]",
утепление 1 слой,28,33,Исполнительная схема монтажа 1-го слоя утеплителя НВФ в/о 13/И-В,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС 1 слоя утеплителя на фасаде в_о 13_И-В.pdf,Анохин / Фасад в осях 13_И-В,https://drive.google.com/file/d/1bTDDaKnodmomd-WIR56orIAOxc9TH33g/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,41,41,028__ИС 1 слоя утеплителя на фасаде в_о 13_И-В.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1bTDDaKnodmomd-WIR56orIAOxc9TH33g_ИС 1 слоя утеплителя на фасаде в_о 13_И-В.pdf"", ""label"": ""ИС 1 слоя утеплителя на фасаде в_о 13_И-В.pdf"", ""pages"": [], ""drive_id"": ""1bTDDaKnodmomd-WIR56orIAOxc9TH33g"", ""sha256"": ""72696ad7eed84bf8a7b7bd49c470db41ce7485c1a6a6fda23ca53fbdd88efc4c"", ""page_count"": 1}]",
утепление 1 слой,29,34,Исполнительная схема монтажа 1-го слоя утеплителя НВФ в/о 13/И-В. Узлы,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС 1 слоя утеплителя на фасаде в_о 13_И-В  Узлы.pdf,Анохин / Фасад в осях 13_И-В,https://drive.google.com/file/d/1sy4pBa5PzB8_qEf4fA9rOLOK7m9VLLXZ/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,42,42,029__ИС 1 слоя утеплителя на фасаде в_о 13_И-В Узлы.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1sy4pBa5PzB8_qEf4fA9rOLOK7m9VLLXZ_ИС 1 слоя утеплителя на фасаде в_о 13_И-В Узлы.pdf"", ""label"": ""ИС 1 слоя утеплителя на фасаде в_о 13_И-В  Узлы.pdf"", ""pages"": [], ""drive_id"": ""1sy4pBa5PzB8_qEf4fA9rOLOK7m9VLLXZ"", ""sha256"": ""3491711e7b6bd9eae80127ca2c34e152dd5ef2ed4bae0a27cbc324bb944735ac"", ""page_count"": 1}]",
утепление 1 слой,30,35,Исполнительная схема монтажа 1-го слоя утеплителя НВФ в/о 17/А-Т,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС 1 слоя утеплителя на фасаде в_о 17_А-Т.pdf,Анохин / Фасад в осях 17_А-Т,https://drive.google.com/file/d/1z0QJKXgJkVY5oA5-HDznkztep0oCPMkE/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,43,43,030__ИС 1 слоя утеплителя на фасаде в_о 17_А-Т.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1z0QJKXgJkVY5oA5-HDznkztep0oCPMkE_ИС 1 слоя утеплителя на фасаде в_о 17_А-Т.pdf"", ""label"": ""ИС 1 слоя утеплителя на фасаде в_о 17_А-Т.pdf"", ""pages"": [], ""drive_id"": ""1z0QJKXgJkVY5oA5-HDznkztep0oCPMkE"", ""sha256"": ""add3a44c7652da8c22ab6d2086e9b19e2eb2010169d536bab05b5e21541877a7"", ""page_count"": 1}]",
утепление 2 слой,1,6,Паспорт на изделие теплоизоляцион. из камен. ваты ВЕНТИ БАТТС 50 мм,№ 28.12.23/3/POER-10905.1.1 от 28.12.2024 г.,"ООО ""РОКВУЛ""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,Паспорт 28.12.23_3_POER-10905.1.1 Венти БАТТС.pdf,Утеплитель для фасада,https://drive.google.com/file/d/1mJ2Vu05u13BiZOKq-ZV0S1FfoJYXI1-j/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,3,3,001__Паспорт 28.12.23_3_POER-10905.1.1 Венти БАТТС.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1mJ2Vu05u13BiZOKq-ZV0S1FfoJYXI1-j_Паспорт 28.12.23_3_POER-10905.1.1 Венти БАТТС.pdf"", ""label"": ""Паспорт 28.12.23_3_POER-10905.1.1 Венти БАТТС.pdf"", ""pages"": [], ""drive_id"": ""1mJ2Vu05u13BiZOKq-ZV0S1FfoJYXI1-j"", ""sha256"": ""e1a83f7afe70dbe388e194bc912aa7e7b089259a4204ec742ecb0121dcfc9cea"", ""page_count"": 1}]",
утепление 2 слой,2,7,Паспорт на изделие теплоизоляцион. из камен. ваты ВЕНТИ БАТТС 50 мм,№ 10.01.24/3/POER-69.1.1 от 11.01.2024 г.,"ООО ""РОКВУЛ""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,Паспорт 10.01.24_3_POER-69.1.1 Венти Баттс 50 мм.pdf,Утеплитель для фасада,https://drive.google.com/file/d/15ylM92g86nwLBZOnfBGIp6YoljFw8hHg/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,4,4,002__Паспорт 10.01.24_3_POER-69.1.1 Венти Баттс 50 мм.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/15ylM92g86nwLBZOnfBGIp6YoljFw8hHg_Паспорт 10.01.24_3_POER-69.1.1 Венти Баттс 50 мм.pdf"", ""label"": ""Паспорт 10.01.24_3_POER-69.1.1 Венти Баттс 50 мм.pdf"", ""pages"": [], ""drive_id"": ""15ylM92g86nwLBZOnfBGIp6YoljFw8hHg"", ""sha256"": ""fd394361b71aac13ef6fff0bcf951da27826d732a970bad49782bfa5e41b483d"", ""page_count"": 1}]",
утепление 2 слой,3,8,Паспорт на изделие теплоизоляцион. из камен. ваты ВЕНТИ БАТТС 50 мм,№ 25.01.24/1/124000017.1.1 от 25.01.2024 г.,"ООО ""РОКВУЛ""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,Паспорт 25.01.24_1_124000017.1.1 Венти Баттс 50 мм.pdf,Утеплитель для фасада,https://drive.google.com/file/d/1TvQpcRAvqLl17SvxuWxve_lb97VlymjJ/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,5,5,003__Паспорт 25.01.24_1_124000017.1.1 Венти Баттс 50 мм.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1TvQpcRAvqLl17SvxuWxve_lb97VlymjJ_Паспорт 25.01.24_1_124000017.1.1 Венти Баттс 50 мм.pdf"", ""label"": ""Паспорт 25.01.24_1_124000017.1.1 Венти Баттс 50 мм.pdf"", ""pages"": [], ""drive_id"": ""1TvQpcRAvqLl17SvxuWxve_lb97VlymjJ"", ""sha256"": ""09dfb51878c8f6f8950f625459fdeada756b2b07c4444adb1e14254fb47ea040"", ""page_count"": 1}]",
утепление 2 слой,4,9,Сертификат соответствия на изделия теплоизоляционные из каменной ваты,№ РОСС С-RU.ЧС13.В.00360/20 с 20.04.2020 г. по 20.04.2025 г.,"ООО ""РОКВУЛ""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ПожСерт.соотв RU C-RU.ЧС13.В.00360_20.pdf,Утеплитель для фасада,https://drive.google.com/file/d/1Lwc2HCtKH5JLqeSV_WYmmCnZ8Kpq-quI/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,6,10,004__ПожСерт.соотв RU C-RU.ЧС13.В.00360_20.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1Lwc2HCtKH5JLqeSV_WYmmCnZ8Kpq-quI_ПожСерт.соотв RU C-RU.ЧС13.В.00360_20.pdf"", ""label"": ""ПожСерт.соотв RU C-RU.ЧС13.В.00360_20.pdf"", ""pages"": [], ""drive_id"": ""1Lwc2HCtKH5JLqeSV_WYmmCnZ8Kpq-quI"", ""sha256"": ""39c2a87900de7d12d7cecf2114a744870a0d28549ffe810f025e92f951455b62"", ""page_count"": 5}]",
утепление 2 слой,5,10,Экспертное заключение о соответствии продукции Единым санитарно-эпидемиологическим и гигиеническим требованиям,№ 2208/04 от 26.08.2022 г.,"ООО ""РОКВУЛ""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,Экспетное заключение 2208_04 на РОКВУЛ.pdf,Утеплитель для фасада,https://drive.google.com/file/d/1EMeCz7b7R_6oLtxQtoYsqKeywR_IJ5mm/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,11,12,005__Экспетное заключение 2208_04 на РОКВУЛ.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1EMeCz7b7R_6oLtxQtoYsqKeywR_IJ5mm_Экспетное заключение 2208_04 на РОКВУЛ.pdf"", ""label"": ""Экспетное заключение 2208_04 на РОКВУЛ.pdf"", ""pages"": [], ""drive_id"": ""1EMeCz7b7R_6oLtxQtoYsqKeywR_IJ5mm"", ""sha256"": ""2ba860f45972a1c8820aba030ee6d45777bae7b77ec4ac88aad17a65711a5d23"", ""page_count"": 2}]",
утепление 2 слой,6,11,Паспорт качества на дюбель для теплоизоляции IZL-T,№ УТ-11150 от 15.06.2023 г.,"ООО ""ТПК Тех-КРЕП""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,Паспорт качества на дюбель тарельчатый.pdf,Утеплитель для фасада,https://drive.google.com/file/d/1riuYEjDf4vs7e2cW0zywacfz3P5h0nP-/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,13,13,006__Паспорт качества на дюбель тарельчатый.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1riuYEjDf4vs7e2cW0zywacfz3P5h0nP-_Паспорт качества на дюбель тарельчатый.pdf"", ""label"": ""Паспорт качества на дюбель тарельчатый.pdf"", ""pages"": [], ""drive_id"": ""1riuYEjDf4vs7e2cW0zywacfz3P5h0nP-"", ""sha256"": ""41bc1ec1ce5f45e6310a3795a47d71b8120577bf55eab76deb4cb6fc50c1b10c"", ""page_count"": 1}]",
утепление 2 слой,7,12,Сертификат соответствия на изделия крепежные из полимерных материалов,№ РОСС RU.НВ61.Н14338 с 12.10.2020 г. по 11.10.2023 г.,"Торговая марка ""Тех-КРЕП""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,Сертификат соответстаия № РОСС RU.HB61.H14338 на дюбель.pdf,Утеплитель для фасада,https://drive.google.com/file/d/1NZkv515fZ23b8Jtx_7iHJMH98fN8KqQ1/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,14,16,007__Сертификат соответстаия № РОСС RU.HB61.H14338 на дюбель.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1NZkv515fZ23b8Jtx_7iHJMH98fN8KqQ1_Сертификат соответстаия № РОСС RU.HB61.H14338 на дюбель.pdf"", ""label"": ""Сертификат соответстаия № РОСС RU.HB61.H14338 на дюбель.pdf"", ""pages"": [], ""drive_id"": ""1NZkv515fZ23b8Jtx_7iHJMH98fN8KqQ1"", ""sha256"": ""ea8772d52ec74f712e7b631c4d81b85363a1c1db0f0133eded6019739693b234"", ""page_count"": 3}]",
утепление 2 слой,8,13,Сертификат соответствия на изделия крепежные из полимерных материалов,№ РОСС RU. З2001.04ИБФ1.ОСП28.40001 с 27.09.2023 г. по 26.09.2026 г.,"ООО ""ТПК Тех-КРЕП""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,Сертификат соответствия № РОСС RU.32001.04ИБФ1.ОСП28.40001 на дюбель.pdf,Утеплитель для фасада,https://drive.google.com/file/d/1kyF47c16lOfI1aDWO9ByI7EeX0vVLQYh/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,17,19,008__Сертификат соответствия № РОСС RU.32001.04ИБФ1.ОСП28.40001 на дюбель.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1kyF47c16lOfI1aDWO9ByI7EeX0vVLQYh_Сертификат соответствия № РОСС RU.32001.04ИБФ1.ОСП28.40001 на дюбель.pdf"", ""label"": ""Сертификат соответствия № РОСС RU.32001.04ИБФ1.ОСП28.40001 на дюбель.pdf"", ""pages"": [], ""drive_id"": ""1kyF47c16lOfI1aDWO9ByI7EeX0vVLQYh"", ""sha256"": ""0f2ad055e0c23463b896e796f6b4fd31a2a1d8415f0762885166b784788e7b50"", ""page_count"": 3}]",
